method_name,degraded_avg_macro_f1,degraded_avg_delta
MLP,0.4883649443579789,-0.18827451003730744
MLP_BlockOnly,0.5582675813340895,-0.138769727810503
MLP_MaskAug,0.5920156396347531,-0.10827056397553299
MLP_MaskOnly,0.5936633403688626,-0.09866715838216551
