val_experiment,n_pairs,mlp_mean_macro_f1,maskaug_mean_macro_f1,mean_gain,wilcoxon_stat,p_value_one_sided
E1_clean,9,0.675505137701481,0.7017646530604432,0.026259515358962204,45.0,0.001953125
E3_mask_30,9,0.46871116699829113,0.6110557926427176,0.14234462564442646,45.0,0.001953125
E3_mask_50,9,0.3808012723681548,0.5599704525511061,0.17916918018295125,45.0,0.001953125
E3_block_30,9,0.512058199011584,0.6323724613118602,0.12031426230027614,45.0,0.001953125
E3_block_50,9,0.41694968743978084,0.5781113289214574,0.16116164148167655,45.0,0.001953125
E4_noise_30,9,0.5947617602863826,0.6167214290462808,0.021959668759898313,45.0,0.001953125
E4_noise_50,9,0.5521485858172829,0.5801863837016454,0.028037797884362656,45.0,0.001953125
