dataset,task_type,train_rows,eval_rows,train_class_counts,eval_class_counts,n_categorical_features,n_numerical_features,input_dim_after_preprocess
UNSW-NB15,7-class intrusion classification,21000,15803,3000 per class,Backdoor 1466 / DoS 3000 / Exploits 3000 / Normal 3000 / Reconnaissance 3000 / Shellcode 1302 / Worms 1035,3,12,162
CICIDS2017,Binary benign-vs-attack classification,6000,6000,benign 3000 / attack 3000,benign 3000 / attack 3000,0,78,80
