paper_method,model_size_mb,training_time_s,cpu_inference_latency_ms,cpu_throughput_flows_s,peak_cpu_ram_mb,peak_gpu_mem_mb,trainable_params
TF-IDF + Logistic Regression,0.0551996231079101,4.28743470000336,0.0210422135047137,47523.517417784205,321.8828125,,4137
TF-IDF + SVM,0.0550737380981445,0.8853521000128239,0.0210779029299626,47443.04987658338,323.2265625,,4137
MLP,0.8284378051757812,6.392145399993751,0.00484935771691,206212.8756789632,405.54296875,,216583
MLP MaskAug,0.8284378051757812,27.53423109999858,0.012049996835236,82987.5736627455,495.16015625,,216583
