condition,mlp_mean_macro_f1,maskaug_mean_macro_f1,mean_gain,ci95_low,ci95_high,rank_biserial,p_value_one_sided,all_gains_positive,n_pairs
Clean,0.675505137701481,0.7027067442900878,0.0272016065886067,0.0220221065560832,0.0332859101381037,1.0,0.001953125,True,9
Mask30,0.4687111669982911,0.6101502275214564,0.1414390605231653,0.136826604556466,0.1460151692206033,1.0,0.001953125,True,9
Mask50,0.3808012723681548,0.560734412046815,0.1799331396786601,0.1738098442320011,0.1861984569870481,1.0,0.001953125,True,9
Block30,0.512058199011584,0.6194688488353599,0.1074106498237758,0.1022280772638017,0.1124949359744034,1.0,0.001953125,True,9
Block50,0.4169496874397808,0.5629435265459664,0.1459938391061855,0.1420855590959934,0.1498843804337821,1.0,0.001953125,True,9
Noise30,0.5947617602863826,0.6323924801822467,0.037630719895864,0.0309396784959458,0.0448836000384236,1.0,0.001953125,True,9
Noise50,0.5521485858172829,0.5959672747238636,0.0438186889065808,0.0378780890900557,0.050067027324405,1.0,0.001953125,True,9
