data_tier,encoder,max_len,cleaning,pooling,ts,weight_mode,multi_class,solver,acc,macro_f1,weighted_f1,fit_sec,n_train,n_val,train_csv,val_csv,key
mini,bert-base-uncased,256,task_only,mean,right,none,multinomial,lbfgs,0.7586,0.7598,0.7598,0.6800,2100,700,d:\桌面\Model_Agent\data/prompt_csv/unsw15_prompt_train_mini.csv,d:\桌面\Model_Agent\data/prompt_csv/unsw15_prompt_val_mini.csv,mini__bert-base-uncased__L256__task__mean__tsR__prep1.0.0__unsw15_prompt_train_mini__unsw15_prompt_val_mini
mini,bert-base-uncased,256,task_only,mean,right,pow0.7,multinomial,lbfgs,0.7586,0.7598,0.7598,0.6200,2100,700,d:\桌面\Model_Agent\data/prompt_csv/unsw15_prompt_train_mini.csv,d:\桌面\Model_Agent\data/prompt_csv/unsw15_prompt_val_mini.csv,mini__bert-base-uncased__L256__task__mean__tsR__prep1.0.0__unsw15_prompt_train_mini__unsw15_prompt_val_mini
