class,MLP,MLP MaskAug,f1_gain_over_mlp
Backdoor,0.3685476628639031,0.4581098563771436,0.08956219351324046
DoS,0.4593132028329632,0.5709791465918034,0.1116659437588402
Exploits,0.4414976490865527,0.6774411742131949,0.23594352512664224
Normal,0.7168869399093722,0.8063010597039842,0.089414119794612
Reconnaissance,0.3155209254610692,0.43796064977934596,0.12243972431827677
Shellcode,0.41819815284043577,0.5138811084113271,0.09568295557089129
Worms,0.5525850728222265,0.7487406342633108,0.19615556144108437
