class,MLP,MLP MaskAug,recall_gain_over_mlp
Backdoor,0.643019554342883,0.5325147794452024,-0.11050477489768062
DoS,0.42477777777777775,0.592,0.16722222222222222
Exploits,0.37633333333333335,0.5518888888888889,0.17555555555555552
Normal,0.7732222222222221,0.7646666666666667,-0.008555555555555427
Reconnaissance,0.3456666666666666,0.41055555555555556,0.06488888888888894
Shellcode,0.511520737327189,0.8238607270865336,0.3123399897593446
Worms,0.835426731078905,0.8560386473429952,0.020611916264090202
