candidate,clean_macro_f1,core_mean_macro_f1,selected
Mask+Block+Noise,0.7017419095898493,0.6408281852753706,True
Mask+Block,0.7002862036102862,0.6363737136109829,False
"MaskOnly {0.1,0.3}",0.6923304987510281,0.6344745114993086,False
"MaskOnly {0.1,0.3,0.5}",0.6782821064202991,0.6279625216841525,False
MaskOnly {0.1},0.6898763371053388,0.6207170293445792,False
BlockOnly {0.1},0.6970373091445925,0.6110676185950595,False
BlockOnly {0.3},0.6813713438008507,0.6014555376437826,False
No augmentation,0.6766394543952864,0.5634398069626072,False
